Id,Probability
1,0.234
2,0.328
3,0.152
4,0.544
5,0.722
6,0.294
7,0.262
8,0.534
9,0.002
10,0.968
11,0.07
12,0.206
13,0.072
14,0.324
15,0.346
16,0.078
17,0.288
18,0.066
19,0.754
20,0.55
21,0.018
22,0.098
23,0.072
24,0.818
25,0.498
26,0.206
27,0.392
28,0.016
29,0.33
30,0.374
31,0.242
32,0.036
33,0.326
34,0.31
35,0.91
36,0.432
37,0.374
38,0.092
39,0.178
40,0.536
41,0.644
42,0.792
43,0.5
44,0.064
45,0.492
46,0
47,0.058
48,0.138
49,0.174
50,0.25
51,0.192
52,0.11
53,0.028
54,0.286
55,0.236
56,0.59
57,0.048
58,0.516
59,0.646
60,0.838
61,0.218
62,0.092
63,0.224
64,0.154
65,0.15
66,0.2
67,0.272
68,0.732
69,0.036
70,0.984
71,0.07
72,0.348
73,0.01
74,0.774
75,0.072
76,0.158
77,0.588
78,0.38
79,0.422
80,0.2
81,0.086
82,0.098
83,0.356
84,0.052
85,0.152
86,0.194
87,0.582
88,0.082
89,0.268
90,0.054
91,0.548
92,0.12
93,0.16
94,0.212
95,0.058
96,0.55
97,0.258
98,0.52
99,0.102
100,0.084
101,0.352
102,0.544
103,0.004
104,0.338
105,0.576
106,0.18
107,0.922
108,0.166
109,0.016
110,0.08
111,0.28
112,0.202
113,0.25
114,0.898
115,0.636
116,0.124
117,0.006
118,0.526
119,0.198
120,0.05
121,0.09
122,0.592
123,0.106
124,0.968
125,0.068
126,0.242
127,0.048
128,0.08
129,0.014
130,0.324
131,0.296
132,0.392
133,0.058
134,0.74
135,0.832
136,0.038
137,0.842
138,0.662
139,0.054
140,0.21
141,0.062
142,0.206
143,0.076
144,0.182
145,0.864
146,0.064
147,0.076
148,0.8
149,0.052
150,0.408
151,0.024
152,0.212
153,0.024
154,0.018
155,0.196
156,0.45
157,0.364
158,0.02
159,0.346
160,0.4
161,0.022
162,0.342
163,0.05
164,0.384
165,0.076
166,0.098
167,0.97
168,0.096
169,0.83
170,0.13
171,0.01
172,0.25
173,0.166
174,0.29
175,0.206
176,0.848
177,0.164
178,0.412
179,0.288
180,0.064
181,0.492
182,0.056
183,0.096
184,0.282
185,0.646
186,0.03
187,0.094
188,0.266
189,0.298
190,0.166
191,0.166
192,0.308
193,0.12
194,0.464
195,0.046
196,0.206
197,0.036
198,0.036
199,0.05
200,0.062
201,0.506
202,0.264
203,0.866
204,0.226
205,0.196
206,0.014
207,0.152
208,0.024
209,0.576
210,0.016
211,0.79
212,0.19
213,0.094
214,0.066
215,0.038
216,0.248
217,0.042
218,0.546
219,0.066
220,0.02
221,0.066
222,0.126
223,0.08
224,0.03
225,0.09
226,0.366
227,0.066
228,0.264
229,0.548
230,0.824
231,0.798
232,0.066
233,0.07
234,0.056
235,0.012
236,0.87
237,0.456
238,0
239,0.068
240,0.05
241,0.38
242,0.064
243,0.064
244,0.172
245,0.28
246,0.08
247,0.222
248,0.04
249,0.132
250,0.78
251,0.03
252,0.848
253,0
254,0.394
255,0.01
256,0.042
257,0.29
258,0.726
259,0.51
260,0.526
261,0.062
262,0.104
263,0.064
264,0.272
265,0.43
266,0.066
267,0.592
268,0.34
269,0.822
270,0.05
271,0.106
272,0.372
273,0.01
274,0.204
275,0.086
276,0.1
277,0.044
278,0.062
279,0.324
280,0.128
281,0.956
282,0.438
283,0.608
284,0.056
285,0.076
286,0.044
287,0.096
288,0.422
289,0.538
290,0.316
291,0.778
292,0.15
293,0.224
294,0.048
295,0.012
296,0.2
297,0.31
298,0.248
299,0
300,0.088
301,0.798
302,0.052
303,0.184
304,0.088
305,0.954
306,0.35
307,0.006
308,0.932
309,0.776
310,0.076
311,0.964
312,0.204
313,0.724
314,0.158
315,0.322
316,0.412
317,0.898
318,0.076
319,0.18
320,0.508
321,0.626
322,0.166
323,0.112
324,0.174
325,0.338
326,0.076
327,0.196
328,0.156
329,0.192
330,0.05
331,0.07
332,0.12
333,0.07
334,0.234
335,0.268
336,0.152
337,0.056
338,0.75
339,0.374
340,0.044
341,0.008
342,0.136
343,0.154
344,0.268
345,0.16
346,0.152
347,0.89
348,0.608
349,0.078
350,0.052
351,0.58
352,0.358
353,0.022
354,0.492
355,0.062
356,0.02
357,0.944
358,0.008
359,0.086
360,0.762
361,0.074
362,0.08
363,0.048
364,0.096
365,0.72
366,0.62
367,0.196
368,0.394
369,0.088
370,0.898
371,0.032
372,0.686
373,0.192
374,0.072
375,0.144
376,0.044
377,0.22
378,0.092
379,0.082
380,0.214
381,0.06
382,0.11
383,0.234
384,0.738
385,0.234
386,0.044
387,0.012
388,0.174
389,0.144
390,0.142
391,0.048
392,0.026
393,0.2
394,0.452
395,0.086
396,0.018
397,0.352
398,0.552
399,0.154
400,0.148
401,0.024
402,0.028
403,0.128
404,0
405,0.926
406,0.93
407,0.24
408,0.658
409,0.238
410,0.082
411,0.164
412,0.264
413,0.752
414,0.086
415,0.022
416,0.918
417,0.624
418,0.366
419,0.042
420,0.068
421,0.116
422,0.02
423,0.284
424,0.018
425,0.03
426,0.048
427,0.29
428,0.082
429,0.546
430,0.09
431,0.812
432,0.026
433,0.136
434,0.056
435,0.174
436,0.234
437,0.354
438,0.644
439,0.052
440,0.264
441,0.212
442,0.186
443,0.496
444,0.1
445,0.506
446,0.816
447,0.146
448,0.402
449,0.242
450,0.024
451,0.264
452,0.004
453,0.516
454,0.266
455,0.426
456,0.298
457,0.184
458,0.116
459,0.452
460,0.08
461,0.1
462,0.418
463,0.046
464,0.272
465,0.37
466,0.074
467,0.046
468,0.182
469,0.048
470,0.802
471,0.008
472,0.034
473,0.884
474,0.246
475,0.39
476,0.022
477,0.048
478,0.082
479,0.192
480,0.114
481,0.48
482,0.078
483,0.434
484,0.27
485,0.008
486,0.786
487,0.128
488,0.406
489,0.52
490,0.156
491,0.048
492,0.244
493,0.86
494,0.238
495,0.78
496,0.336
497,0.012
498,0.062
499,0.616
500,0.094
501,0.274
502,0.068
503,0.3
504,0.098
505,0.024
506,0.63
507,0.318
508,0.03
509,0.008
510,0.174
511,0.218
512,0.754
513,0.224
514,0.21
515,0.084
516,0.74
517,0.072
518,0.102
519,0.026
520,0.132
521,0.096
522,0.01
523,0.568
524,0.582
525,0.216
526,0.902
527,0.606
528,0.078
529,0.784
530,0.414
531,0.072
532,0.016
533,0.182
534,0.03
535,0.15
536,0.018
537,0.194
538,0.53
539,0.086
540,0.148
541,0.192
542,0.172
543,0.344
544,0.64
545,0.132
546,0.152
547,0.464
548,0.102
549,0.022
550,0.514
551,0.85
552,0.514
553,0.158
554,0.024
555,0.654
556,0.524
557,0.112
558,0.308
559,0.704
560,0.286
561,0.01
562,0.218
563,0.594
564,0.138
565,0.354
566,0.008
567,0.028
568,0.204
569,0.946
570,0.428
571,0.704
572,0.342
573,0.194
574,0.608
575,0.364
576,0.012
577,0.366
578,0.01
579,0.684
580,0.014
581,0.1
582,0.172
583,0.038
584,0.174
585,0.252
586,0.038
587,0.052
588,0.424
589,0.156
590,0.1
591,0.882
592,0.062
593,0.084
594,0.09
595,0.85
596,0.182
597,0.038
598,0.168
599,0.342
600,0.058
601,0.024
602,0.448
603,0.212
604,0.036
605,0.524
606,0.094
607,0.594
608,0.142
609,0.836
610,0.198
611,0.198
612,0.03
613,0.04
614,0.264
615,0.126
616,0.068
617,0.776
618,0.058
619,0.156
620,0.166
621,0.002
622,0.388
623,0.258
624,0.094
625,0.428
626,0.93
627,0.354
628,0.174
629,0.058
630,0.714
631,0.128
632,0.116
633,0.096
634,0.256
635,0.536
636,0.004
637,0.092
638,0.08
639,0.736
640,0.018
641,0.026
642,0.922
643,0.66
644,0.924
645,0.398
646,0.908
647,0.232
648,0.688
649,0.072
650,0.18
651,0.846
652,0.158
653,0.516
654,0.958
655,0.05
656,0.228
657,0.102
658,0.186
659,0.532
660,0.484
661,0.188
662,0.936
663,0.618
664,0.7
665,0.9
666,0.006
667,0.042
668,0.354
669,0.932
670,0.244
671,0.054
672,0.392
673,0.306
674,0.086
675,0.928
676,0.87
677,0.094
678,0.358
679,0.182
680,0.842
